policy_id,family,lookback,range_minutes,shock_z,gap_bps,volume_z,response_max,target_close_fraction,stop_window,stop_buffer_atr,m18_trades,m18_total_return,m18_geometric_daily_growth,m18_max_drawdown,m18_profit_factor,m18_win_rate,m18_median_trade,m18_h1_return,m18_h2_return,m18_q1_return,m18_q2_return,m18_q3_return,m18_q4_return,m18_positive_quarters,m18_top10_removed_return,m18_top5_positive_share,m18_terminal_exits,m18_bankrupt,m18_max_required_leverage,m18_final_nav,m18_calendar_days
1a68e6068d64f18a,CONTINUATION,5,240,2.0,60.0,1.0,0.5,0.5,30,0.1,1,-0.000604234456647812,-1.6559358340106911e-06,0.0006042344566478278,0.0,0.0,-0.0006042344566478544,-0.000604234456647812,0.0,-0.000604234456647812,0.0,0.0,0.0,0,-0.000604234456647812,,0,False,0.33568580924880803,9993.957655433522,365
977bf6c8bf5086cf,CONTINUATION,5,240,3.0,30.0,0.0,0.25,0.5,30,0.1,1,-0.003954965900438978,-1.0856947803450367e-05,0.003954965900438947,0.0,0.0,-0.003954965900439014,-0.003954965900438978,0.0,-0.003954965900438978,0.0,0.0,0.0,0,-0.003954965900438978,,0,False,1.2972412564189895,9960.45034099561,365
b554acb77ea492e7,CONTINUATION,5,240,3.0,30.0,0.0,0.5,0.5,30,0.1,3,-0.00738328105607966,-2.0303005902611027e-05,0.008356302035695862,0.11717773262001976,0.3333333333333333,-0.003954965900439014,-0.00738328105607966,0.0,-0.0029776262402252396,-0.004418812387570248,0.0,0.0,0,-0.008356302035695928,1.0,0,False,1.2972412564189895,9926.167189439204,365
5397e69d27da88ec,CONTINUATION,5,240,3.0,30.0,1.0,0.25,0.5,30,0.1,1,-0.003954965900438978,-1.0856947803450367e-05,0.003954965900438947,0.0,0.0,-0.003954965900439014,-0.003954965900438978,0.0,-0.003954965900438978,0.0,0.0,0.0,0,-0.003954965900438978,,0,False,1.2972412564189895,9960.45034099561,365
4410f2e95f9e9417,CONTINUATION,5,240,3.0,30.0,1.0,0.5,0.5,30,0.1,3,-0.00738328105607966,-2.0303005902611027e-05,0.008356302035695862,0.11717773262001976,0.3333333333333333,-0.003954965900439014,-0.00738328105607966,0.0,-0.0029776262402252396,-0.004418812387570248,0.0,0.0,0,-0.008356302035695928,1.0,0,False,1.2972412564189895,9926.167189439204,365
ee6d20cc0aa7c431,CONTINUATION,5,240,3.0,60.0,0.0,0.25,0.5,30,0.1,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,False,0.0,10000.0,365
74af7e0b7dd2a6bd,CONTINUATION,5,240,3.0,60.0,0.0,0.5,0.5,30,0.1,1,-0.0027327354025573625,-7.4971668014844894e-06,0.0027327354025574097,0.0,0.0,-0.0027327354025574067,-0.0027327354025573625,0.0,-0.0027327354025573625,0.0,0.0,0.0,0,-0.0027327354025573625,,0,False,1.256700572653802,9972.672645974426,365
21aab41bb2d2e2a4,CONTINUATION,5,240,3.0,60.0,1.0,0.25,0.5,30,0.1,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,False,0.0,10000.0,365
31b78d1715c9ee72,CONTINUATION,5,240,3.0,60.0,1.0,0.5,0.5,30,0.1,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0,False,0.0,10000.0,365
9bf12364de0b6a7b,REVERSAL,1,60,2.0,30.0,0.0,0.25,0.5,30,0.1,71,-0.21773266300452343,-0.0006725373992283457,0.2246118476527293,0.28825513305398676,0.15492957746478872,-0.004970920045494955,-0.13786086233320083,-0.09264374760607563,-0.10006446863609075,-0.04199900146161273,-0.08887019871666468,-0.004141615041123536,0,-0.287062413152559,0.8415994426285807,0,False,4.187906046976702,7822.673369954766,365
9b74923eade917d0,REVERSAL,1,60,2.0,30.0,0.0,0.5,0.5,30,0.1,78,-0.24729914100437267,-0.0007780188184041137,0.25235417617657696,0.28909179006600966,0.15384615384615385,-0.005101624666000587,-0.14628028555302108,-0.11832789350166217,-0.10885300145877652,-0.04199900146161273,-0.0992845349951732,-0.021142479780101198,0,-0.32249979643678284,0.8239850224396744,0,False,4.187906046976702,7527.008589956274,365
173fa1be64a39096,REVERSAL,1,60,2.0,30.0,1.0,0.25,0.5,30,0.1,15,-0.06694117229264152,-0.00018980945765145751,0.07072541198394901,0.05572395952086349,0.06666666666666667,-0.004740924440692334,-0.0496761340797498,-0.018167530914498298,-0.04816114839404029,-0.0015916409412721766,-0.005701821634909177,-0.012537194124288109,0,-0.07072541198394888,1.0,0,False,2.59906995551964,9330.588277073584,365
7d083c3187ce833b,REVERSAL,1,60,2.0,30.0,1.0,0.5,0.5,30,0.1,18,-0.06886177468683441,-0.00019545361700457065,0.07263822492307673,0.22002616437245748,0.1111111111111111,-0.0048559222430936445,-0.058956746075548794,-0.010525582718943549,-0.05745655534010041,-0.0015916409412721766,0.0020371515700388088,-0.012537194124288109,1,-0.08716815862660254,1.0,0,False,3.3542268311891315,9311.382253131656,365
825838b38b08f36f,REVERSAL,1,60,2.0,60.0,0.0,0.25,0.5,30,0.1,9,-0.04353063443042482,-0.00012192823257939356,0.04563522077458603,0.08417023220375683,0.1111111111111111,-0.005151598443299624,-0.04353063443042482,0.0,-0.04353063443042482,0.0,0.0,0.0,0,-0.04740982106820801,1.0,0,False,3.4434014663408297,9564.693655695752,365
1475fe7ed4eb45ce,REVERSAL,1,60,2.0,60.0,0.0,0.5,0.5,30,0.1,9,-0.04353063443042482,-0.00012192823257939356,0.04563522077458603,0.08417023220375683,0.1111111111111111,-0.005151598443299624,-0.04353063443042482,0.0,-0.04353063443042482,0.0,0.0,0.0,0,-0.04740982106820801,1.0,0,False,3.4434014663408297,9564.693655695752,365
22c5349eede81ee7,REVERSAL,1,60,2.0,60.0,1.0,0.25,0.5,30,0.1,5,-0.028936428602872044,-8.044427872233584e-05,0.03287480547745009,0.12238503034727324,0.2,-0.009759655457181831,-0.028936428602871933,0.0,-0.028936428602871933,0.0,0.0,0.0,0,-0.03287480547745014,1.0,0,False,2.4034454281818687,9710.63571397128,365
